txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
CHAMBERLIN,100,"[(2055, 157), (2055, 245), (2042, 245), (2042, 157)]","{'Width': 13, 'Height': 88, 'Left': 2042, 'Top': 157}","(-300.0, -0.0)",13.0,88.0,vertical,"(2048.5, 201.0)","(0, 0)",2042,157
J.EDWARD,100,"[(2074, 164), (2075, 237), (2058, 237), (2057, 164)]","{'Width': 18, 'Height': 73, 'Left': 2057, 'Top': 164}","(40.743, -0.0)",17.0,73.00684899377592,vertical,"(2066.0, 200.5)","(0, 0)",2057,164
HER,100,"[(2087, 983), (2115, 983), (2115, 994), (2087, 994)]","{'Width': 28, 'Height': 11, 'Left': 2087, 'Top': 983}","(0.0, -300.0)",11.0,28.0,horizontal,"(2101.0, 988.5)","(0, 0)",2087,983
AGE,100,"[(2115, 706), (2115, 735), (2100, 735), (2100, 706)]","{'Width': 15, 'Height': 29, 'Left': 2100, 'Top': 706}","(-300.0, -0.0)",15.0,29.0,vertical,"(2107.5, 720.5)","(0, 0)",2100,706
IN,100,"[(2115, 526), (2115, 540), (2101, 540), (2101, 526)]","{'Width': 14, 'Height': 14, 'Left': 2101, 'Top': 526}","(-300.0, -0.0)",14.0,14.0,vertical,"(2108.0, 533.0)","(0, 0)",2101,526
THE,100,"[(2115, 550), (2115, 578), (2101, 578), (2101, 550)]","{'Width': 14, 'Height': 28, 'Left': 2101, 'Top': 550}","(-300.0, -0.0)",14.0,28.0,vertical,"(2108.0, 564.0)","(0, 0)",2101,550
DIGITAL,100,"[(2115, 585), (2115, 645), (2101, 645), (2101, 585)]","{'Width': 14, 'Height': 60, 'Left': 2101, 'Top': 585}","(-300.0, -0.0)",14.0,60.0,vertical,"(2108.0, 615.0)","(0, 0)",2101,585
MEDIA,100,"[(2115, 653), (2115, 700), (2101, 700), (2101, 653)]","{'Width': 14, 'Height': 47, 'Left': 2101, 'Top': 653}","(-300.0, -0.0)",14.0,47.0,vertical,"(2108.0, 676.5)","(0, 0)",2101,653
LODIO,100,"[(2115, 790), (2115, 839), (2106, 839), (2106, 790)]","{'Width': 9, 'Height': 49, 'Left': 2106, 'Top': 790}","(-300.0, -0.0)",9.0,49.0,vertical,"(2110.5, 814.5)","(0, 0)",2106,790
TILTMANDLL,100,"[(2115, 848), (2115, 950), (2106, 950), (2106, 848)]","{'Width': 9, 'Height': 102, 'Left': 2106, 'Top': 848}","(-300.0, -0.0)",9.0,102.0,vertical,"(2110.5, 899.0)","(0, 0)",2106,848
