txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top
BATS,100,"[(771, 766), (771, 855), (740, 855), (740, 766)]","{'Width': 31, 'Height': 89, 'Left': 740, 'Top': 766}","(1000.0, 0.0, 1000.0, -0.0)",31.0,89.0,vertical,"(755.5, 810.5)","(0, 0)",740,766
808.3,100,"[(796, 1182), (853, 1183), (853, 1196), (796, 1195)]","{'Width': 57, 'Height': 14, 'Left': 796, 'Top': 1182}","(-0.018, 1000.0, -0.018, 1000.0)",13.0,57.0087712549569,horizontal,"(824.5, 1189.0)","(0, 0)",796,1182
SOB,100,"[(796, 1206), (829, 1207), (829, 1220), (796, 1219)]","{'Width': 33, 'Height': 14, 'Left': 796, 'Top': 1206}","(-0.03, 1000.0, -0.03, 1000.0)",13.0,33.015148038438355,horizontal,"(812.5, 1213.0)","(0, 0)",796,1206
THE,100,"[(851, 303), (851, 385), (809, 385), (809, 303)]","{'Width': 42, 'Height': 82, 'Left': 809, 'Top': 303}","(1000.0, 0.0, 1000.0, -0.0)",42.0,82.0,vertical,"(830.0, 344.0)","(0, 0)",809,303
WRITER'S,100,"[(851, 398), (851, 619), (809, 619), (809, 398)]","{'Width': 42, 'Height': 221, 'Left': 809, 'Top': 398}","(1000.0, 0.0, 1000.0, -0.0)",42.0,221.0,vertical,"(830.0, 508.5)","(0, 0)",809,398
GUIDE,100,"[(851, 633), (851, 716), (809, 716), (809, 633)]","{'Width': 42, 'Height': 83, 'Left': 809, 'Top': 633}","(1000.0, 0.0, 1000.0, -0.0)",42.0,83.0,vertical,"(830.0, 674.5)","(0, 0)",809,633
TO,100,"[(851, 723), (851, 757), (809, 757), (809, 723)]","{'Width': 42, 'Height': 34, 'Left': 809, 'Top': 723}","(1000.0, 0.0, 1000.0, -0.0)",42.0,34.0,vertical,"(830.0, 740.0)","(0, 0)",809,723
WEAPONS,100,"[(851, 771), (851, 998), (809, 998), (809, 771)]","{'Width': 42, 'Height': 227, 'Left': 809, 'Top': 771}","(1000.0, 0.0, 1000.0, -0.0)",42.0,227.0,vertical,"(830.0, 884.5)","(0, 0)",809,771
SOBIECK,100,"[(839, 1058), (839, 1139), (821, 1139), (821, 1058)]","{'Width': 18, 'Height': 81, 'Left': 821, 'Top': 1058}","(1000.0, 0.0, 1000.0, -0.0)",18.0,81.0,vertical,"(830.0, 1098.5)","(0, 0)",821,1058
808.3,100,"[(888, 1170), (946, 1172), (945, 1187), (887, 1185)]","{'Width': 59, 'Height': 17, 'Left': 887, 'Top': 1170}","(-0.034, 15.0, -0.034, 15.0)",15.033296378372908,58.034472514187634,horizontal,"(916.5, 1178.5)","(0, 0)",887,1170
TRU,100,"[(888, 1194), (922, 1196), (921, 1209), (887, 1208)]","{'Width': 35, 'Height': 15, 'Left': 887, 'Top': 1194}","(-0.059, 13.0, -0.029, 14.0)",13.537036829011749,34.03673771762135,horizontal,"(904.5, 1201.75)","(0, 0)",887,1194
TRUBY,100,"[(963, 1056), (962, 1167), (939, 1167), (940, 1056)]","{'Width': 24, 'Height': 111, 'Left': 939, 'Top': 1056}","(111.0, 0.0, 111.0, -0.0)",23.0,111.00450441310929,vertical,"(951.0, 1111.5)","(0, 0)",939,1056
THE,100,"[(963, 391), (963, 459), (940, 459), (940, 391)]","{'Width': 23, 'Height': 68, 'Left': 940, 'Top': 391}","(1000.0, 0.0, 1000.0, -0.0)",23.0,68.0,vertical,"(951.5, 425.0)","(0, 0)",940,391
ANATOMY,100,"[(963, 474), (963, 654), (940, 654), (940, 474)]","{'Width': 23, 'Height': 180, 'Left': 940, 'Top': 474}","(1000.0, 0.0, 1000.0, -0.0)",23.0,180.0,vertical,"(951.5, 564.0)","(0, 0)",940,474
OF,100,"[(963, 667), (963, 712), (940, 712), (940, 667)]","{'Width': 23, 'Height': 45, 'Left': 940, 'Top': 667}","(1000.0, 0.0, 1000.0, -0.0)",23.0,45.0,vertical,"(951.5, 689.5)","(0, 0)",940,667
GENRES,100,"[(963, 726), (963, 859), (940, 859), (940, 726)]","{'Width': 23, 'Height': 133, 'Left': 940, 'Top': 726}","(1000.0, 0.0, 1000.0, -0.0)",23.0,133.0,vertical,"(951.5, 792.5)","(0, 0)",940,726
JOHN,100,"[(963, 946), (962, 1039), (940, 1039), (941, 946)]","{'Width': 23, 'Height': 93, 'Left': 940, 'Top': 946}","(93.0, 0.0, 93.0, -0.0)",22.0,93.00537618869137,vertical,"(951.5, 992.5)","(0, 0)",940,946
